Name,CAS,SMILES,IUPAC_Name,ChEMBL_ID,MolFormula,MW
PRAZOSIN,,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,,CHEMBL2,C19H21N5O4,383.41
NICOTINE,,CN1CCC[C@H]1c1cccnc1,,CHEMBL3,C10H14N2,162.24
OFLOXACIN,,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,,CHEMBL4,C18H20FN3O4,361.37
NALIDIXIC ACID,,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,,CHEMBL5,C12H12N2O3,232.24
INDOMETHACIN,,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,,CHEMBL6,C19H16ClNO4,357.79
SULBACTAM,,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,,CHEMBL403,C8H11NO5S,233.24
TAZOBACTAM,,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,,CHEMBL404,C10H12N4O5S,300.30
CIPROFLOXACIN,,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,,CHEMBL8,C17H18FN3O3,331.35
NORFLOXACIN,,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,,CHEMBL9,C16H18FN3O3,319.34
AMPHETAMINE,,CC(N)Cc1ccccc1,,CHEMBL405,C9H13N,135.21
ISOSORBIDE DINITRATE,,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],,CHEMBL6622,C6H8N2O8,236.14
MIANSERIN,,CN1CCN2c3ccccc3Cc3ccccc3C2C1,,CHEMBL6437,C18H20N2,264.37
IMIPRAMINE,,CN(C)CCCN1c2ccccc2CCc2ccccc21,,CHEMBL11,C19H24N2,280.42
INDAPAMIDE,,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,,CHEMBL406,C16H16ClN3O3S,365.84
FLUMAZENIL,,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,,CHEMBL407,C15H14FN3O3,303.29
TROGLITAZONE,,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,,CHEMBL408,C24H27NO5S,441.55
BICALUTAMIDE,,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,,CHEMBL409,C18H14F4N2O4S,430.38
DIAZEPAM,,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,,CHEMBL12,C16H13ClN2O,284.75
METOPROLOL,,COCCc1ccc(OCC(O)CNC(C)C)cc1,,CHEMBL13,C15H25NO3,267.37
DIETHYLSTILBESTROL,,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,,CHEMBL411,C18H20O2,268.36
MECAMYLAMINE,,CNC1(C)C2CCC(C2)C1(C)C,,CHEMBL267936,C11H21N,167.30
CARBACHOL,,C[N+](C)(C)CCOC(N)=O.[Cl-],,CHEMBL14,C6H15ClN2O2,182.65
PHENYTOIN,,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,,CHEMBL16,C15H12N2O2,252.27
SIROLIMUS,,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,,CHEMBL413,C51H79NO13,914.19
TACROLIMUS ANHYDROUS,,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,,CHEMBL269732,C44H69NO12,804.03
CLOMIPRAMINE,,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,,CHEMBL415,C19H23ClN2,314.86
METHOXSALEN,,COc1c2occc2cc2ccc(=O)oc12,,CHEMBL416,C12H8O4,216.19
DICHLORPHENAMIDE,,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,,CHEMBL17,C6H6Cl2N2O4S2,305.16
ETHOXZOLAMIDE,,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,,CHEMBL18,C9H10N2O3S2,258.32
